nylon12.txt		Omenyi, 1981(178)	Contact angle	γc = 43.2 mJ/m2; 23oC                            Test liquids not known; calculated by equation of state method.
nylon12.txt		Gotoh, 2000(172)	Contact angle	γs = 41.3 mJ/m2 (γsLW = 37.0, γsAB = 4.3,        Test liquids: water, diiodomethane, and ethylene glycol. Acid- | γs+ = 0.6, γs- = 7.6); no temp cited             base Wilhelmy plate analysis, advancing contact angles.
nylon12.txt		Wu, 2003(53)	Contact angle	γs = 35.8 mJ/m2 (γsd = 30.3, γsp = 5.5); 20oC    Test liquids not known.
nylon12.txt		Surface-tension.de, 2007(110)	Unknown	γs = 40.7 mJ/m2 (γsd = 35.9, γsp = 4.9); 20oC    No details available.
nylon66.txt		Ellison, 1954(13)	Critical ST	γc = 46 mJ/m 2; 20oC                       Test liquids not known.
nylon66.txt		Fox, 1954(204)	Critical ST	γc = 42.5 mJ/m2; no temp cited             Test liquids not known.
nylon66.txt		Fort, 1964(17)	Critical ST	γc = 42 mJ/m2; 22oC, 65% RH                Test liquids: water, glycerol, and formamide. Polymer samples | prepared by bulk melt polymerization and finish formed | in contact with aluminum foil.
nylon66.txt		Dann, 1970(94)	Critical ST	γc = 37.5 mJ/m2; 25oC                      Ethylene glycol/2-ethoxyethanol mixes, based on advancing | contact angles.
nylon66.txt		Dann, 1970(94)	Critical ST	γc = 49 mJ/m2; 25oC                        Ethylene glycol/2-ethoxyethanol mixes, based on retreating | contact angles.
nylon66.txt		Dann, 1970(94)	Critical ST	γc = 36.5 mJ/m2; 25oC                      Polyglycol blends, based on advancing contact angles.
nylon66.txt		Dann, 1970(94)	Critical ST	γc = 48 mJ/m2; 25oC                        Polyglycol blends, based on retreating contact angles.
nylon66.txt		Dann, 1970(94)	Critical ST	γc = 34 mJ/m2; 25oC                        Formamide/2-ethoxyethanol mixes, based on advancing | contact angles. | (d)
nylon66.txt		Dann, 1970(94)	Critical ST	γc = >56 mJ/m2; 25oC                       Formamide/2-ethoxyethanol mixes, based on retreating | contact angles. | (d)
nylon66.txt		Dann, 1970(94)	Critical ST	γc = >56 mJ/m2; 25oC                       Per ASTM D-2578, using formamide/2-ethoxyethanol mixes.
nylon66.txt		Van Krevelen, 1976(85)	Critical ST	γc = 44 mJ/m2; 23oC                        Test liquids not known.
nylon66.txt		Fort, 1964(17)	Contact angle	θWA = 73o; 22oC, 65% RH                    Polymer samples prepared by bulk melt polymerization and | finish formed in contact with aluminum foil.
nylon66.txt		Owens, 1969(155)	Contact angle	θWY = 72o; no temp cited
nylon66.txt		Dann, 1970(94)	Contact angle	θWA = 65o; 25oC                            Sessile drop method; surface cleaned with detergent and rinsed | with distilled water.
nylon66.txt		Wu, 1971(29)	Contact angle	θWY = 70o; 20oC
nylon66.txt		Absolom, 1979(179)	Contact angle	θWA = 70o; 20oC
nylon66.txt		Wu, 1982(50)	Contact angle	θWY = 72o; 20oC
nylon66.txt		Hsieh, 1992(230)	Contact angle	θWY = 61.4o; no temp cited                 Nylon fibers. | (d)
nylon66.txt		Jonsson, 1992(112)	Contact angle	θWY = 32o; no temp cited                   Cleaned by sonification in a 70/30 ethanol/water solution and | rinsed with distilled water.
nylon66.txt		Spelt, 1992(88)	Contact angle	θWA = 70o; 23oC
nylon66.txt		Extrand, 2002(143)	Contact angle	θWA = 68.5o; θWR = 40.9o, dθW = 27.6o;     Measured by sessile drop method; cleaned with hexane and | 23oC                                       dried under vacuum.
nylon66.txt		van Oss, 2006(20)	Contact angle	θWY = 64o; 20oC
nylon66.txt		Shafrin, 1963(201)	Contact angle	γs = 43.2 mJ/m2 (γsd = 34.1, γsp = 9.1);   Test liquids not known. | no temp cited
nylon66.txt		Owens, 1969(155)	Contact angle	γs = 47.0 mJ/m2 (γsd = 40.8, γsp = 6.2);   Test liquids: water and diiodomethane, by geometric mean | no temp cited                              equation.
nylon66.txt		Dann, 1970(94)	Contact angle	γsd = 47 mJ/m2; 25oC                       Various test liquids.
nylon66.txt		Wu, 1971(29)	Contact angle	γs = 47.9 mJ/m2 (γsd = 35.0, γsp = 12.9); 20oC    Test liquids: water and diiodomethane, by harmonic mean | equation.
nylon66.txt		Kitazaki, 1972(191)	Contact angle	γs = 46.5 mJ/m2 (γsd = 42.0, γsp = 4.5);          Various test liquids; original results split polar component into | no temp cited                                     hydrogen- and non-hydrogen bonding parameters.
nylon66.txt		Absolom, 1979(179)	Contact angle	γs = 44.1 mJ/m2; 20oC
nylon66.txt		Wu, 1979(45)	Contact angle	γs = 44.7 mJ/m2; 20oC                             Test liquids not known, by harmonic mean equation.
nylon66.txt		Wu, 1979(45)	Contact angle	γc = 43.8 mJ/m2; 20oC                             Test liquids not known; calculated by the equation of state | method.
nylon66.txt		Tagawa, 1989(232)	Contact angle	γs = 52.9 mJ/m2; no temp cited                    Test liquids: water and n-alkane; nylon fiber.
nylon66.txt		Berger, 1991(145)	Contact angle	γs = 41.6 mJ/m2 (γsd = 33.1; γsp = 8.5);          Various test liquids, by geometric mean equation. Surface | no temp cited                                     cleaned with dichloromethane.
nylon66.txt		Berger, 1991(145)	Contact angle	γs = 39.3 mJ/m2 (γsd = 31.7; γsp = 7.6);          Various test liquids, by geometric mean equation. 43% glass | no temp cited                                     reinforced; surface cleaned with dichloromethane.
nylon66.txt		Spelt, 1992(88)	Contact angle	γc = 41.4 mJ/m2; 23oC                             Test liquids not known; calculated by the equation of state | method.
nylon66.txt		van Oss, 2006(20)	Contact angle	γs = 37.7 mJ/m2 (γsLW = 36.4, γsAB = 1.3,         Test liquids: water, alpha-bromonaphthalene, diiodomethane, | γs+ = 0.02, γs- = 21.6); 20oC                     formamide, and glycerin; acid-base analysis.
nylon66.txt		Morra, 1999(134)	Contact angle	γs = 42.8 mJ/m2 (γsLW = 37.4, γsAB = 5.4,         Test liquids not known; acid-base analysis based on reference | γs+ = 3.0, γs- = 2.5); no temp cited              values for water of γ+ = 48.5 mJ/m2 and γ- = 11.2 mJ/m2.
nylon66.txt		Kwok, 2000(166)	Contact angle	γc = 41.5 mJ/m2; no temp cited                    Re-calculated by equation of state method from data produced | by Ellison, 1954(13).
